start_day,3J-HYDR2,3SM-HYDR,1J-HYDR2,1SM-HYDR
2017/2/10,15818.4,9711,6341.4,4914
2017/2/11,15818.4,9711,6341.4,4914
2017/2/12,15818.4,9711,6341.4,4914
2017/2/13,15818.4,9711,6341.4,4914
2017/2/14,15818.4,9711,6341.4,4914
2017/2/15,15818.4,9711,6341.4,4914
2017/2/16,15818.4,9711,6341.4,4914
2017/2/17,15818.4,9711,6341.4,4914
2017/2/18,15818.4,9711,6341.4,4914
2017/2/19,15818.4,9711,6341.4,4914
2017/2/20,15818.4,9711,6341.4,4914
2017/2/21,15818.4,9711,6341.4,4914
2017/2/22,15818.4,9711,6341.4,4914
2017/2/23,15818.4,9711,6341.4,4914
2017/2/24,15818.4,9711,6341.4,4914
2017/2/25,15818.4,9711,6341.4,4914
2017/2/26,15818.4,9711,6341.4,4914
2017/2/27,15818.4,9711,6341.4,4914
2017/2/28,15818.4,9711,6341.4,4914
2017/3/1,15818.4,9711,6341.4,4914
2017/3/2,15818.4,9711,6341.4,4914
2017/3/3,15818.4,9711,6341.4,4914
2017/3/4,15818.4,9711,6341.4,4914
2017/3/5,15818.4,9711,6341.4,4914
2017/3/6,15818.4,9711,6341.4,4914
2017/3/7,15818.4,9711,6341.4,4914
2017/3/8,15818.4,9711,6341.4,4914
2017/3/9,15818.4,9711,6341.4,4914
2017/3/10,15818.4,9711,6341.4,4914
2017/3/11,15818.4,9711,6341.4,4914
2017/3/12,15818.4,9711,6341.4,4914
2017/3/13,15818.4,9711,6341.4,4914
2017/3/14,15818.4,9711,6341.4,4914
2017/3/15,15818.4,9711,6341.4,4914
2017/3/16,15818.4,9711,6341.4,4914
2017/3/17,15818.4,9711,6341.4,4914
2017/3/18,15818.4,9711,6341.4,4914
2017/3/19,15818.4,9711,6341.4,4914
2017/3/20,15818.4,9711,6341.4,4914
2017/3/21,15818.4,9711,6341.4,4914
2017/3/22,15818.4,9711,6341.4,4914
2017/3/23,15818.4,9711,6341.4,4914
2017/3/24,15818.4,9711,6341.4,4914
2017/3/25,15818.4,9711,6341.4,4914
2017/3/26,15818.4,9711,6341.4,4914
2017/3/27,15818.4,9711,6341.4,4914
2017/3/28,15818.4,9711,6341.4,4914
2017/3/29,15818.4,9711,6341.4,4914
2017/3/30,15818.4,9711,6341.4,4914
2017/3/31,15818.4,9711,6341.4,4914
2017/4/1,15818.4,9711,6341.4,4914
